"函数名","输入样例","Smoke Test 原始表现","是否正常股票","是否错误代码 999999","是否可能是正常业务空结果","问题分类","是否建议第一批整改","是否建议第二批整改","是否仅记录观察","推荐动作","推荐理由","最小改动范围","是否需要换源","是否需要修改 prompt","是否需要修改 Quality Gate","是否需要修改 Agent 辩论逻辑","验收方式"
"a_stock.get_stock_data","600519, 2026-06-01~2026-07-07","正常返回 26 条 mootdx 日线，含 source/date/unit-like 字段","是","否","否","B技术契约问题","否","否","是","仅标记","主数据可用；只暴露文本契约风险，不属于第一批技术错误","后续 wrapper 统一 metadata；当前不改","否","否","否","否","保留为正常基线样本；后续 wrapper 验证不改变 CSV 内容"
"a_stock.get_stock_data","688981, 2026-06-01~2026-07-07","正常返回 26 条 mootdx 日线","是","否","否","B技术契约问题","否","否","是","仅标记","科创板样本可用；无第一批修复必要","后续 wrapper 统一 metadata；当前不改","否","否","否","否","保留为正常基线样本"
"a_stock.get_stock_data","999999, 2026-06-01~2026-07-07","返回 K线数据获取失败：mootdx和新浪备用源均不可用","否","是","否","B技术契约问题","否","否","是","暂缓","错误代码问题按阶段 3A 口径降级；记录为输入校验和失败契约问题","后续输入校验 wrapper；当前不列第一批","否","否","否","否","未来输入校验可将非法代码结构化为 invalid_input"
"a_stock.get_indicators","300750, rsi, 2026-07-07, 10","正常返回 RSI；周末显示 N/A: Not a trading day","是","否","是","C正常业务空结果","否","否","是","仅标记","非交易日 N/A 是业务正常空值；不应视为接口错误","后续 metadata 标注 non_trading_day；当前不改","否","否","否","否","指标仍返回交易日值；非交易日标记可结构化"
"a_stock.get_indicators","999999, rsi, 2026-07-07, 10","返回 Error calculating rsi... No OHLCV data","否","是","否","B技术契约问题","否","否","是","暂缓","错误代码降级；失败以普通字符串返回属于契约问题","后续输入校验 wrapper；当前不列第一批","否","否","否","否","未来非法代码不进入底层数据源"
"a_stock.get_fundamentals","600519, 2026-07-07","仅返回 Float Shares/Total Shares；腾讯/东财/同花顺子源疑似失败后被静默跳过","是","否","否","A纯技术错误","是","否","否","立即修复","正常股票应返回估值/价格/行业/一致预期等核心字段；Smoke 只剩股本，说明子源失败或解析失败被吞掉","仅 a_stock.get_fundamentals 子源状态拦截和最小 source/error 标记；不改 Agent","否","否","否","否","600519 返回至少价格/PE/PB/市值或明确列出子源失败；不得伪装成完整 fundamentals"
"a_stock.get_fundamentals","999999, 2026-07-07","错误代码仍返回巨大 Float Shares/Total Shares","否","是","否","B技术契约问题","否","否","是","暂缓","错误代码降级；但暴露输入校验缺失和 mootdx 异常数据可信度问题","后续输入校验 wrapper；当前不列第一批","否","否","否","否","未来非法代码返回 invalid_input 而非财务字段"
"a_stock.get_balance_sheet","600519, quarterly, 2026-07-07","返回 No balance sheet data found","是","否","否","A纯技术错误","是","否","否","立即修复","正常大型 A 股应有资产负债表；该空结果更像新浪接口/参数/解析失效，不应按正常空结果处理","仅三表新浪 helper 或失败拦截；不换源优先","待确认","否","否","否","600519 返回非空报表或结构化 technical_error，含 source/as_of"
"a_stock.get_cashflow","600519, quarterly, 2026-07-07","返回 No cash flow data found","是","否","否","A纯技术错误","是","否","否","立即修复","正常大型 A 股应有现金流量表；当前为空疑似接口或解析问题","仅三表新浪 helper 或失败拦截；不换源优先","待确认","否","否","否","600519 返回非空报表或结构化 technical_error，含 source/as_of"
"a_stock.get_income_statement","600519, quarterly, 2026-07-07","返回 No income statement data found","是","否","否","A纯技术错误","是","否","否","立即修复","正常大型 A 股应有利润表；当前为空疑似接口或解析问题","仅三表新浪 helper 或失败拦截；不换源优先","待确认","否","否","否","600519 返回非空报表或结构化 technical_error，含 source/as_of"
"a_stock.get_news","600519, 2026-06-01~2026-07-07","正常返回东财新闻 Markdown，含媒体标题/摘要/链接和判断性词语","是","否","否","D业务解释风险","否","是","否","后续业务评估","新闻可用但来源是媒体报道，是否一手事实属于业务口径，不进入第一批技术修复","后续 metadata 标注 source_type/scope；当前不改","否","否","否","否","第二批确认新闻可信等级和公告/媒体边界"
"a_stock.get_news","999999, 2026-06-01~2026-07-07","错误代码返回新浪泛新闻列表，看似正常","否","是","否","B技术契约问题","否","否","是","暂缓","错误代码降级；暴露 fallback/搜索相关性未结构化，但不列第一批","后续输入校验和 fallback metadata；当前不改","否","否","否","否","未来非法代码不应返回泛新闻；fallback 显式标记"
"a_stock.get_global_news","2026-07-07, look_back=7, limit=5","正常返回东财全球/市场新闻","是","否","否","D业务解释风险","否","是","否","后续业务评估","技术上有返回；风险在市场级新闻可能被个股化解释","后续 scope=market metadata；当前不改","否","否","否","否","第二批验证 scope 标记和下游消费方式"
"a_stock.get_insider_transactions","600519","正常返回 mootdx F10 股东研究；函数名为 insider_transactions","是","否","否","D业务解释风险","否","是","否","后续业务评估","返回可用，但业务口径是股东研究近似 insider，不是技术错误","后续字段/标题改口径或 wrapper 标注 equivalent_only；当前不改","否","否","否","否","第二批确认 insider/股东研究命名与 scope"
"a_stock.get_insider_transactions","999999","返回 Error retrieving insider/shareholder... dict object has no attribute strip","否","是","否","B技术契约问题","否","否","是","暂缓","错误代码降级；类型错误属于输入校验触发，不列第一批","后续输入校验 wrapper；当前不改","否","否","否","否","非法代码返回 invalid_input 或 no_record，不暴露 Python 类型错误"
"a_stock.get_profit_forecast","600519, 2026-07-07","返回 Error retrieving profit forecast... HTML 被当作文件路径/异常文本，长度约 281991","是","否","否","A纯技术错误","是","否","否","立即修复","正常股票触发 HTML/解析异常且整页 HTML 进入普通字符串，是明确第一批技术问题","仅 _ths_eps_forecast/get_profit_forecast 解析和 HTML 拦截；不改 Agent","否","否","否","否","600519 返回结构化无覆盖/非空预测；不得返回 HTML；异常体长度受控"
"a_stock.get_hot_stocks","2026-07-07","正常返回同花顺强势股和人工题材标签","是","否","否","D业务解释风险","否","是","否","后续业务评估","技术上可用；风险在人工题材归因是否可靠，不列第一批","后续 source_type=editorial/scope=market；当前不改","否","否","否","否","第二批确认题材标签可信等级"
"a_stock.get_northbound_flow","2026-07-07, include_history=False","正常返回沪深股通实时市场级资金，含 Signal/流入流出词","是","否","否","D业务解释风险","否","是","否","后续业务评估","技术上可用；风险在市场级数据个股化和信号词，不列第一批","后续 scope=market 和 conclusion_level 标记；当前不改","否","否","否","否","第二批确认是否保留 signal 文案或降低结论强度"
"a_stock.get_concept_blocks","300450","正常返回百度概念/行业/地域及涨跌幅","是","否","否","D业务解释风险","否","是","否","后续业务评估","技术上可用；风险在第三方概念标签和 ratio 口径，不列第一批","后续 unit/scope/source_type 标注；当前不改","否","否","否","否","第二批确认概念标签可信等级和单位口径"
"a_stock.get_concept_blocks","999999","返回 Baidu PAE error: ResultCode=10003","否","是","否","B技术契约问题","否","否","是","暂缓","错误代码降级；记录为输入校验和失败字符串契约问题","后续输入校验 wrapper；当前不改","否","否","否","否","非法代码返回 invalid_input 或 no_record"
"a_stock.get_fund_flow","300750, 2026-07-07, include_history=True","正常股票返回东财 ProxyError/连接失败普通字符串","是","否","否","A纯技术错误","是","否","否","立即修复","正常股票资金流接口请求失败且以普通字符串返回；可能是代理/东财接口稳定性问题","仅 get_fund_flow 请求失败拦截和最小技术错误包装；不换源优先","待确认","否","否","否","300750 成功返回资金流或结构化 technical_error；不得让代理异常进入 Agent 文本"
"a_stock.get_fund_flow","999999, 2026-07-07, include_history=True","错误代码返回东财 ProxyError/连接失败普通字符串","否","是","否","B技术契约问题","否","否","是","暂缓","错误代码降级；同类技术现象已由 300750 正常股票覆盖第一批","后续输入校验 wrapper；当前不单列","否","否","否","否","非法代码不进入外部请求"
"a_stock.get_dragon_tiger_board","300450, 2026-07-07, look_back=30","返回近30日未上龙虎榜","是","否","是","C正常业务空结果","否","否","是","仅标记","无龙虎榜记录可能是正常业务空结果，不是接口失败","后续 empty_reason=no_event metadata；当前不改","否","否","否","否","返回结构化 empty/no_event 即可；不要求有记录"
"a_stock.get_lockup_expiry","688981, 2026-07-07, forward_days=90","返回历史解禁记录且未来90天无待解禁；部分字段为空","是","否","是","C正常业务空结果","否","否","是","仅标记","未来窗口无解禁可为正常业务空结果；字段单位/缺失另属契约观察","后续 empty_reason 和 unit metadata；当前不列第一批","否","否","否","否","保留历史记录；未来无解禁标记为 no_upcoming_event"
"a_stock.get_industry_comparison","000001, 2026-07-07, top_n=10","正常返回全行业表现，未定位个股所属行业","是","否","否","D业务解释风险","否","是","否","后续业务评估","技术上可用；风险在函数名/用途暗示个股行业对比但返回市场全行业榜","后续 scope=market/sector 和函数语义澄清；当前不改","否","否","否","否","第二批确认是否补充目标行业识别或重命名说明"
"interface.route_to_vendor","get_stock_data, 000001, 2026-06-01~2026-07-07","正常路由到 a_stock 并返回 K线文本","是","否","否","B技术契约问题","否","否","是","仅标记","本样本可用；路由层仍无结构化状态但不需第一批单独修复","后续 route result wrapper；当前不改","否","否","否","否","后续 wrapper 能透传 vendor/status/fallback"
"interface.route_to_vendor","get_news, 999999, 2026-06-01~2026-07-07","错误代码经路由返回看似正常的新浪新闻","否","是","否","B技术契约问题","否","否","是","暂缓","错误代码降级；体现 route_to_vendor 不能识别失败文本，但不作为第一批主项","后续输入校验和 route status wrapper；当前不改","否","否","否","否","非法代码不返回泛新闻；route 暴露 vendor/status"
"y_finance.get_YFin_data_online","600519.SS, 2026-06-01~2026-07-07","抛 YFRateLimitError Too Many Requests","是","否","否","A纯技术错误","否","否","是","暂缓","纯技术错误但非 A 股主线，且第一批聚焦 a_stock 主线；仅记录兼容源限流","非主线兼容源；当前不改","否","否","否","否","若启用 yfinance vendor，再单独验证限流处理"
"y_finance.get_fundamentals","600519.SS, 2026-07-07","返回 No fundamentals data found","是","否","可能","B技术契约问题","否","否","是","暂缓","非 A 股主线；Yahoo 对 A 股基本面覆盖不足，记录 vendor 适配问题","非主线兼容源；当前不改","否","否","否","否","若启用 yfinance vendor，再定义 A 股不支持语义"
"yfinance_news.get_news_yfinance","600519.SS, 2026-06-01~2026-07-07","返回 Too Many Requests 错误文本","是","否","否","A纯技术错误","否","否","是","暂缓","纯技术错误但非 A 股主线，第一批不扩大到 Yahoo 新闻源","非主线兼容源；当前不改","否","否","否","否","若启用 yfinance vendor，再单独验证限流处理"
"yfinance_news.get_global_news_yfinance","2026-07-07, look_back=7, limit=5","返回 Too Many Requests 错误文本","是","否","否","A纯技术错误","否","否","是","暂缓","纯技术错误但非 A 股主线，且业务上偏全球/美股，当前仅观察","非主线兼容源；当前不改","否","否","否","否","若启用 yfinance vendor，再单独验证限流处理"
